client_id,age,income,credit_score,loan_amount,loan_term_months,interest_rate,employment_status,has_default_history,default
1,56,78067,405,38772,60,32.92,unemployed,0,1
2,69,69376,727,27762,24,25.28,self-employed,0,1
3,46,65587,604,14283,24,14.22,employed,0,0
4,32,56976,616,40420,36,16.1,employed,0,0
5,60,124587,308,20554,60,21.51,employed,0,1
6,25,147534,372,21219,12,28.7,employed,0,1
7,38,87584,658,35919,24,14.54,employed,0,0
8,56,124537,522,10429,60,22.39,unemployed,1,1
9,36,98477,715,47840,60,15.37,employed,0,0
10,40,130911,669,45695,12,29.47,self-employed,0,1
11,28,62533,563,40673,60,19.0,employed,0,1
12,28,21828,617,20218,60,7.3,self-employed,0,0
13,41,21917,383,13452,60,9.98,self-employed,0,1
14,70,40618,617,49980,24,6.83,employed,0,0
15,53,52254,410,19951,12,19.98,employed,0,1
16,57,125292,550,2307,60,8.19,employed,0,1
17,41,136714,682,15852,60,8.42,unemployed,0,0
18,20,67362,306,26232,24,33.23,unemployed,0,1
19,39,40128,758,36428,12,31.18,employed,0,1
20,70,143781,383,44171,36,18.56,employed,0,1
21,19,131281,507,27485,24,34.57,employed,1,1
22,41,79383,689,11238,12,5.01,self-employed,0,0
23,61,85545,613,39975,60,23.42,employed,0,0
24,47,102180,321,2140,12,23.49,employed,0,1
25,55,107958,709,25842,12,18.72,employed,0,0
26,19,29865,814,27421,12,16.91,employed,1,1
27,38,22219,426,2708,36,18.66,self-employed,0,1
28,50,59809,313,4630,12,17.45,employed,0,1
29,29,136748,311,20595,36,26.91,employed,0,1
30,39,25287,386,11485,60,9.06,employed,0,1
31,61,146593,823,29308,36,10.93,employed,1,1
32,42,54387,836,45789,60,10.42,employed,0,0
33,66,28512,600,27086,60,12.87,unemployed,1,1
34,44,21342,542,17859,36,20.76,self-employed,0,1
35,59,83076,421,8684,24,8.34,employed,0,1
36,45,128872,446,26552,48,31.05,employed,0,1
37,33,39216,655,2207,12,13.92,unemployed,1,1
38,32,137512,608,47099,48,9.88,employed,0,0
39,64,136682,587,2960,12,25.27,employed,0,1
40,68,113070,606,1557,12,6.14,unemployed,1,1
41,61,99767,848,30689,60,23.6,self-employed,0,0
42,72,117829,651,49651,12,25.95,unemployed,0,1
43,69,46614,611,14893,12,11.45,unemployed,0,0
44,74,56258,358,33272,36,6.26,unemployed,0,1
45,20,113789,334,1882,48,15.91,employed,0,1
46,54,62078,744,38529,36,7.96,employed,0,0
47,68,126288,392,39635,12,8.49,employed,0,1
48,24,103524,506,30535,60,12.63,employed,0,1
49,38,116573,652,13869,36,13.86,employed,0,0
50,26,32219,631,8166,36,20.9,employed,1,1
51,56,20235,458,13982,24,25.35,employed,0,1
